,Unnamed: 0,artist_id,name,genre
0,0,1483,Cornelius,classic soul
1,1,1215,Acid Rain,chicago rap
2,1,1215,Acid Rain, conscious hip hop
3,1,1215,Acid Rain, hip hop
4,1,1215,Acid Rain, pop rap
5,1,1215,Acid Rain, rap
6,2,1220,Corin Tucker Band,
7,3,1269,Searchlight,folk-pop
8,3,1269,Searchlight, modern rock
9,3,1269,Searchlight, neo mellow
10,3,1269,Searchlight, pop rock
11,4,1874,Carousel,alt z
12,4,1874,Carousel, electropop
13,4,1874,Carousel, pop
14,5,2602,Bad Blood,pop
15,6,1997,North Korea,emo rap
16,6,1997,North Korea, pop rap
17,6,1997,North Korea, sad rap
18,7,2633,Michelle Shocked,cowpunk
19,7,2633,Michelle Shocked, gbvfi
20,7,2633,Michelle Shocked, post-punk
21,8,2016,Crack,detroit hip hop
22,8,2016,Crack, hip hop
23,8,2016,Crack, rap
24,9,3089,Mercy,chicago rap
25,9,3089,Mercy, rap
26,10,1833,Basic Vacation,
27,11,1061,Legacy,atl hip hop
28,11,1061,Legacy, hip hop
29,11,1061,Legacy, pop rap
30,11,1061,Legacy, rap
31,11,1061,Legacy, southern hip hop
32,11,1061,Legacy, trap
33,12,2373,Overdrive,bedroom pop
34,12,2373,Overdrive, pop
35,13,737,Official,canadian pop
36,13,737,Official, contemporary r&b
37,13,737,Official, dance pop
38,13,737,Official, hip pop
39,13,737,Official, neo soul
40,13,737,Official, quiet storm
41,13,737,Official, r&b
42,13,737,Official, urban contemporary
43,14,140,Stigmata,modern alternative rock
44,14,140,Stigmata, modern rock
45,14,140,Stigmata, rock
46,15,2999,20/20,brooklyn drill
47,15,2999,20/20, melodic rap
48,15,2999,20/20, nyc rap
49,16,2160,Face Down,pop punk
50,16,2160,Face Down, pop rock
51,16,2160,Face Down, screamo
52,17,3516,She Moves,brighton indie
53,17,3516,She Moves, modern rock
54,17,3516,She Moves, rock
55,18,357,Coward,adult standards
56,18,357,Coward, classic country pop
57,18,357,Coward, country
58,18,357,Coward, mellow gold
59,18,357,Coward, nashville sound
60,18,357,Coward, soft rock
61,19,66,Brooke Parrott,
62,20,1538,Strange Fruit,adult standards
63,20,1538,Strange Fruit, harlem renaissance
64,20,1538,Strange Fruit, jazz
65,20,1538,Strange Fruit, jazz blues
